scene_id,im_id,obj_id,score,R,t,time
1,114,1,1.0,0.8926963210105896 0.3028274178504944 -0.3337498605251312 0.11127549409866333 -0.8657673001289368 -0.4879188537597656 -0.43670493364334106 0.3984251618385315 -0.806564450263977,8.923624992370605 -12.29468822479248 75.71315002441406,2.053843762021279
1,116,1,1.0,0.8960980176925659 0.29998520016670227 -0.32713499665260315 0.10145314037799835 -0.8559495806694031 -0.5070085525512695 -0.4321061670780182 0.4211404323577881 -0.7974490523338318,8.816514015197754 -10.033349990844727 76.2444076538086,0.11480186902335845
1,117,1,1.0,0.8991782069206238 0.29250481724739075 -0.3254527449607849 0.09568144381046295 -0.8571811318397522 -0.5060487985610962 -0.4269936978816986 0.42388829588890076 -0.79874587059021,8.672026634216309 -9.095787048339844 75.30133056640625,0.11475207702605986
1,118,1,1.0,0.9012320637702942 0.29288268089294434 -0.31937500834465027 0.09830000251531601 -0.8559764623641968 -0.5075837969779968 -0.4220399856567383 0.42605623602867126 -0.8002238869667053,8.282992362976074 -9.446343421936035 72.70165252685547,0.11446375297382475
1,119,1,1.0,0.8971135020256042 0.29801124334335327 -0.3261543810367584 0.10103259235620499 -0.857062041759491 -0.5052098631858826 -0.43009278178215027 0.4202783405780792 -0.798990786075592,7.975843906402588 -10.045804977416992 70.58490753173828,0.11404980701045134
1,125,1,1.0,0.8995155096054077 0.29068779945373535 -0.3261478841304779 0.10134990513324738 -0.8649995923042297 -0.49143052101135254 -0.4249706566333771 0.4089943468570709 -0.8075417280197144,4.420369625091553 -5.540896415710449 66.72531127929688,0.11603061298374087
1,126,1,1.0,0.9042959213256836 0.28093066811561584 -0.32144495844841003 0.10460402816534042 -0.8758225440979004 -0.47116121649742126 -0.41389235854148865 0.3924447298049927 -0.8213891983032227,3.56241512298584 -4.208652019500732 67.18106842041016,0.11440592599101365
1,127,1,1.0,0.9073835015296936 0.27757734060287476 -0.31560420989990234 0.1031830906867981 -0.8750312924385071 -0.4729412794113159 -0.4074413776397705 0.39657407999038696 -0.8226302266120911,3.0062313079833984 -3.43406081199646 67.28202056884766,0.11409949798835442
1,128,1,1.0,0.904972493648529 0.28522923588752747 -0.3157041072845459 0.11143216490745544 -0.8750037550926208 -0.4711170792579651 -0.4106186628341675 0.39116841554641724 -0.8236380219459534,1.9465315341949463 -2.6472432613372803 66.70414733886719,0.11444235400413164
1,129,1,1.0,0.9056026935577393 0.2890331745147705 -0.3103925287723541 0.1175946593284607 -0.8742585182189941 -0.47100257873535156 -0.40749871730804443 0.39004072546958923 -0.8257196545600891,1.7247109413146973 -2.5053653717041016 66.40800476074219,0.11495656502083876
1,130,1,1.0,0.9052278995513916 0.29519495368003845 -0.3056507408618927 0.12314075976610184 -0.8706760406494141 -0.476192831993103 -0.4066925048828125 0.39342498779296875 -0.8245107531547546,1.1334705352783203 -2.768325090408325 65.67414855957031,0.11460932198096999
1,131,1,1.0,0.9072543382644653 0.2915809452533722 -0.3031008839607239 0.1242317333817482 -0.8743013143539429 -0.46921610832214355 -0.40181592106819153 0.3880436420440674 -0.8294373154640198,0.5275536179542542 -2.8934056758880615 64.51150512695312,0.11645156199811027
1,133,1,1.0,0.9050503373146057 0.30783364176750183 -0.29346591234207153 0.13917545974254608 -0.8663871884346008 -0.479586660861969 -0.40188804268836975 0.3932068347930908 -0.8269669413566589,0.655124843120575 -3.552356481552124 63.63482666015625,0.11487379099125974
1,134,1,1.0,0.9066886901855469 0.3057415783405304 -0.29058146476745605 0.13574336469173431 -0.8637620806694031 -0.4852718114852905 -0.3993610441684723 0.40054598450660706 -0.8246657848358154,1.0053876638412476 -3.2140214443206787 64.42280578613281,0.11484808401437477
1,135,1,1.0,0.9006518721580505 0.31544551253318787 -0.29886525869369507 0.14043891429901123 -0.8621653318405151 -0.4867730438709259 -0.4112216532230377 0.3964407444000244 -0.8208115100860596,2.253626823425293 -2.6605255603790283 66.09646606445312,0.11505626901052893
1,136,1,1.0,0.9006226062774658 0.3159317374229431 -0.2984394431114197 0.14261841773986816 -0.86351478099823 -0.48373764753341675 -0.41053497791290283 0.39310210943222046 -0.8227585554122925,2.840928316116333 -2.574061155319214 66.92488098144531,0.11451034998171963
1,137,1,1.0,0.9007716774940491 0.3179549276828766 -0.29582953453063965 0.14611907303333282 -0.8633443117141724 -0.48299670219421387 -0.40897390246391296 0.39184340834617615 -0.8241353631019592,3.1637356281280518 -2.644136428833008 67.37366485595703,0.11401605500723236
1,138,1,1.0,0.8990923762321472 0.3244369626045227 -0.2938939929008484 0.14982616901397705 -0.8588757514953613 -0.4897802174091339 -0.4113211929798126 0.39632463455200195 -0.8208177089691162,3.333824872970581 -2.9352035522460938 67.20967864990234,0.11387128498754465
1,139,1,1.0,0.8992562890052795 0.3287235498428345 -0.288580983877182 0.15481892228126526 -0.8562132120132446 -0.4928792715072632 -0.40910792350769043 0.39854696393013 -0.8208476901054382,3.5406413078308105 -3.6905627250671387 66.73442077636719,0.11338199101155624
1,140,1,1.0,0.9025840759277344 0.3313681483268738 -0.27483996748924255 0.1581401824951172 -0.8489624857902527 -0.5042364001274109 -0.40041670203208923 0.41165247559547424 -0.818662703037262,3.6900336742401123 -4.675436496734619 66.42459869384766,0.11358570798765869
1,141,1,1.0,0.9012734293937683 0.3368532359600067 -0.2724631130695343 0.16447336971759796 -0.8478226661682129 -0.5041281580924988 -0.4008176028728485 0.4095444083213806 -0.8195234537124634,3.848156690597534 -5.6725592613220215 66.14286041259766,0.11321954000741244
