scene_id,im_id,obj_id,score,R,t,time
1,153,1,1.0,0.38651135563850403 0.9207135438919067 0.053810082376003265 0.9116336703300476 -0.37255561351776123 -0.1735694408416748 -0.13976049423217773 0.11614164710044861 -0.9833504557609558,18.925893783569336 -0.23972520232200623 85.61646270751953,0.28289170099887995
1,177,1,1.0,0.4179740250110626 0.9038618206977844 -0.09127665311098099 0.8972686529159546 -0.4264580011367798 -0.11420383304357529 -0.1421501487493515 -0.03416544571518898 -0.9892552495002747,-0.7138766646385193 2.764662504196167 91.52091979980469,0.11533480201032945
1,183,1,1.0,0.3737387955188751 0.914976954460144 -0.15210601687431335 0.8861327767372131 -0.4006704092025757 -0.2328772246837616 -0.274021714925766 -0.04775087162852287 -0.960537314414978,10.966638565063477 12.588730812072754 78.60447692871094,0.11419606499257498
1,205,1,1.0,0.4157000780105591 0.8623108863830566 -0.28915977478027344 0.8909683227539062 -0.44995543360710144 -0.060955438762903214 -0.18267154693603516 -0.2322930097579956 -0.955338180065155,-3.86432147026062 8.235125541687012 93.56631469726562,0.11445910101756454
1,206,1,1.0,0.42079558968544006 0.8602356910705566 -0.28796815872192383 0.8891614675521851 -0.4540286362171173 -0.05700770393013954 -0.1797858476638794 -0.23206157982349396 -0.9559416770935059,-6.014191627502441 8.470470428466797 93.64424133300781,0.1142007639806252
1,207,1,1.0,0.41966983675956726 0.8639784455299377 -0.27824175357818604 0.8915778994560242 -0.44985896348953247 -0.0521133728325367 -0.1701943576335907 -0.2262037694454193 -0.9590963125228882,-6.432089328765869 7.725339412689209 94.57427978515625,0.11420523098204285
1,208,1,1.0,0.4154886305332184 0.8708645105361938 -0.26261046528816223 0.8929612636566162 -0.44548600912094116 -0.0645163282752037 -0.17317426204681396 -0.20769517123699188 -0.9627426266670227,-6.5007476806640625 7.715344429016113 96.53596496582031,0.11496153199695983
1,209,1,1.0,0.41391798853874207 0.876562237739563 -0.24558193981647491 0.8932422399520874 -0.4430983364582062 -0.0760408341884613 -0.1754714697599411 -0.1878894865512848 -0.9663887619972229,-6.18203067779541 7.490555286407471 96.66040802001953,0.11423963598790579
1,210,1,1.0,0.41392263770103455 0.8803919553756714 -0.23146960139274597 0.8916677832603455 -0.44331783056259155 -0.0916404128074646 -0.18329408764839172 -0.16846194863319397 -0.9685163497924805,-6.508223056793213 7.335116386413574 97.07572937011719,0.1141629140416626
1,211,1,1.0,0.41538867354393005 0.8816977143287659 -0.2237444669008255 0.8911630511283875 -0.44377627968788147 -0.09429262578487396 -0.18243005871772766 -0.16022473573684692 -0.9700759649276733,-6.894557952880859 7.420022010803223 97.43077850341797,0.11420455100014806
1,212,1,1.0,0.41331416368484497 0.8839759230613708 -0.21853607892990112 0.8916748762130737 -0.44156116247177124 -0.09969756752252579 -0.18462727963924408 -0.1536567211151123 -0.9707226753234863,-7.095088481903076 7.23585844039917 97.29988098144531,0.11378927202313208
1,213,1,1.0,0.4147662818431854 0.8865148425102234 -0.20508678257465363 0.8904385566711426 -0.4418373107910156 -0.10908263921737671 -0.1873183697462082 -0.13737337291240692 -0.9726461172103882,-6.802390098571777 7.0212578773498535 97.02470397949219,0.11316145897726529
1,214,1,1.0,0.4120962619781494 0.8878346681594849 -0.2047588974237442 0.8910250663757324 -0.4396508038043976 -0.11305564641952515 -0.19039714336395264 -0.13585549592971802 -0.972261369228363,-6.608164310455322 6.992092609405518 97.36912536621094,0.11308762200642378
1,215,1,1.0,0.4135661721229553 0.8911031484603882 -0.18681034445762634 0.8903263807296753 -0.43873536586761475 -0.12177924811840057 -0.19047819077968597 -0.11595840007066727 -0.974818766117096,-6.082576274871826 6.711731433868408 97.4173355102539,0.11312602401594632
1,216,1,1.0,0.41301947832107544 0.8937304019927979 -0.1751023530960083 0.8914791941642761 -0.4360645115375519 -0.12293293327093124 -0.1862248033285141 -0.10532640665769577 -0.9768453240394592,-5.934516429901123 6.6215925216674805 97.43531036376953,0.11282602897845209
1,217,1,1.0,0.40966054797172546 0.8965198397636414 -0.16861329972743988 0.8922919034957886 -0.4322393536567688 -0.13032382726669312 -0.18971920013427734 -0.09706375002861023 -0.9770287871360779,-5.593706130981445 6.382286548614502 97.27738952636719,0.11463033899199218
